Company Name,City,Country,Crypto Holdings Value
21 SHARES,New York,United States,1500000000
MicroStrategy,Tysons Corner,United States,15000000000
Marathon Digital Holdings,Fort Lauderdale,United States,2500000000
Tesla,Austin,United States,750000000
Riot Platforms,Castle Rock,United States,650000000
Coinbase Global,San Francisco,United States,600000000
Block Inc.,San Francisco,United States,500000000
Hut 8 Mining,Miami,United States,450000000
CleanSpark,Henderson,United States,400000000
Galaxy Digital Holdings,New York,United States,350000000
Bitcoin Group SE,Herford,Germany,200000000
Meitu,Xiamen,China,100000000
Nexon,Tokyo,Japan,90000000
Binance,Dubai,United Arab Emirates,50000000000
Tether,Road Town,British Virgin Islands,85000000000
Bitfinex,Hong Kong,Hong Kong,5000000000
OKX,Victoria,Seychelles,4000000000
Kraken,San Francisco,United States,3000000000
Bybit,Dubai,United Arab Emirates,2500000000
KuCoin,Victoria,Seychelles,1500000000
Bitstamp,London,United Kingdom,1000000000
eToro,Tel Aviv,Israel,800000000
Gemini,New York,United States,5000000000
Bitflyer,Tokyo,Japan,1200000000
Coincheck,Tokyo,Japan,900000000
Bithumb,Seoul,South Korea,1100000000
Upbit,Seoul,South Korea,2200000000
Deribit,Panama City,Panama,800000000
Bitso,Mexico City,Mexico,400000000
Mercado Bitcoin,Sao Paulo,Brazil,300000000
Luno,London,United Kingdom,250000000
Bitvavo,Amsterdam,Netherlands,600000000
Swissquote,Gland,Switzerland,1000000000
Seba Bank,Zug,Switzerland,500000000
Sygnum Bank,Zurich,Switzerland,600000000
FalconX,San Mateo,United States,400000000
GSR Markets,London,United Kingdom,300000000
Wintermute,London,United Kingdom,350000000
Jump Crypto,Chicago,United States,800000000
Cumberland,Chicago,United States,700000000
Flow Traders,Amsterdam,Netherlands,200000000
Jane Street,New York,United States,1000000000
Animoca Brands,Hong Kong,Hong Kong,1500000000
Dapper Labs,Vancouver,Canada,400000000
Yuga Labs,Miami,United States,300000000
Sky Mavis,Ho Chi Minh City,Vietnam,250000000
Consensys,Fort Worth,United States,500000000
Ripple Labs,San Francisco,United States,2000000000
Stellar Development Foundation,San Francisco,United States,1000000000
Solana Foundation,Zug,Switzerland,800000000
Avalanche Foundation,Singapore,Singapore,600000000
Polygon Labs,Dubai,United Arab Emirates,500000000
Near Foundation,Zug,Switzerland,400000000
Aptos Labs,Palo Alto,United States,300000000
Mysten Labs,Palo Alto,United States,250000000
Chainlink Labs,San Francisco,United States,450000000
MakerDAO,Zug,Switzerland,800000000
Uniswap Labs,New York,United States,350000000
Aave Companies,London,United Kingdom,300000000
Lido Finance,Grand Cayman,Cayman Islands,1500000000
Curve Finance,Zug,Switzerland,200000000
Core Scientific,Austin,United States,300000000
Bitfarms,Toronto,Canada,250000000
Iris Energy,Sydney,Australia,200000000
Cipher Mining,New York,United States,180000000
TeraWulf,Easton,United States,150000000
Hive Digital Technologies,Vancouver,Canada,120000000
Argo Blockchain,London,United Kingdom,100000000
Bitdeer,Singapore,Singapore,350000000
Canaan,Beijing,China,150000000
Ebang,Hangzhou,China,100000000
Matrixport,Singapore,Singapore,800000000
Amber Group,Hong Kong,Hong Kong,700000000
Babel Finance,Hong Kong,Hong Kong,400000000
Copper,London,United Kingdom,500000000
Fireblocks,New York,United States,1200000000
Ledger,Paris,France,800000000
Trezor,Prague,Czech Republic,300000000
Exodus,Omaha,United States,150000000
Trust Wallet,San Francisco,United States,250000000
MetaMask,San Francisco,United States,400000000
Anchorage Digital,San Francisco,United States,900000000
BitGo,Palo Alto,United States,1100000000
Paxos,New York,United States,1500000000
Circle,Boston,United States,3500000000
